id_cliente,nome,cognome,email,telefono,indirizzo,città,CAP,paese,data_registrazione
45,Laura,Branciforte,laura.branciforte@hotmail.com,0377889255,Canale Fabrizia 15 Appartamento 86,Giosuè sardo,51925,Italia,2024-02-01
46,Filippa,Pergolesi,filippa.pergolesi@tin.it,4865281685,Rotonda Marisa 33,Borgo Beppe,18880,Italia,2025-08-01
47,Martino,Chechi,martino.chechi@tele2.it,2229270653,Stretto Gino 73 Piano 9,Scalfaro salentino,88623,Italia,2025-05-04
48,Edoardo,Greggio,edoardo.greggio@libero.it,5818141247,Viale Valentina 06,Quarto Tiziano calabro,61530,Italia,2024-02-15
49,Cirillo,Monti,cirillo.monti@tin.it,0472779010,Contrada Gilberto 10 Appartamento 69,Boaga lido,98089,Italia,2023-10-18
50,Letizia,Colletti,letizia.colletti@vodafone.it,0953962185,Viale Battelli 6,Giosuè sardo,51531,Italia,2025-03-29
51,Lolita,Montanelli,lolita.montanelli@tin.it,5852772217,Piazza Luchino 86,Grisoni a mare,45054,Italia,2023-04-19
52,Nicoletta,Pacelli,nicoletta.pacelli@gmail.com,7652775841,Rotonda Camilleri 544,Redi ligure,57059,Italia,2024-08-13
53,Guglielmo,Bettoni,guglielmo.bettoni@libero.it,5820297021,Vicolo Eraldo 7 Piano 5,Borsiere laziale,85654,Italia,2023-10-30
54,Damiano,Aulenti,damiano.aulenti@alice.it,8681447394,Viale Fedele 7,Sesto Gelsomina calabro,88442,Italia,2025-09-29
55,Etta,Draghi,etta.draghi@gmail.com,1323705895,Contrada Paride 7,Pizzo laziale,25177,Italia,2025-08-29
56,Ugo,Murialdo,ugo.murialdo@tin.it,2680182422,Contrada Gabriele 8 Piano 2,Diana umbro,82992,Italia,2023-06-30
57,Flora,Moresi,flora.moresi@yahoo.com,0109439690,Borgo Pisani 71 Appartamento 27,Sorrentino nell'emilia,59255,Italia,2024-03-27
58,Pasqual,Ceschi,pasqual.ceschi@gmail.com,5371473210,Via Paoletta 95 Appartamento 27,Tarantino salentino,01687,Italia,2023-10-16
59,Giampiero,Niscoromni,giampiero.niscoromni@libero.it,4797480162,Incrocio Arnaldo 8 Appartamento 58,Benito veneto,84991,Italia,2023-04-25
60,Cipriano,Pertile,cipriano.pertile@gmail.com,8523986800,Via Totino 595 Appartamento 69,Carla calabro,94705,Italia,2024-03-05
61,Giada,Capecchi,giada.capecchi@gmail.com,0974993097,Canale Gioachino 913 Appartamento 75,Corbo veneto,68970,Italia,2023-05-10
62,Ugolino,Fogazzaro,ugolino.fogazzaro@hotmail.it,7865278585,Contrada Anita 34,Irma del friuli,57584,Italia,2023-12-29
63,Dario,Vento,dario.vento@gmail.com,5240415747,Via Cantimori 9 Appartamento 30,Borgo Arnaldo,65712,Italia,2022-10-16
64,Amalia,Cuda,amalia.cuda@gmail.com,7345401938,Incrocio Milena 24,San Lazzaro laziale,54788,Italia,2024-11-13
65,Veronica,Chigi,veronica.chigi@hotmail.com,4315274205,Incrocio Totino 16,Borgo Elladio nell'emilia,30463,Italia,2024-08-31
66,Marcella,Interiano,marcella.interiano@poste.it,9904530174,Canale Laureano 93 Appartamento 27,Quarto Ludovica,68783,Italia,2023-10-27
67,Giulia,Bragadin,giulia.bragadin@hotmail.com,8519108839,Strada Florio 9 Piano 1,Bertoli nell'emilia,86790,Italia,2025-02-22
68,Romolo,Mascagni,romolo.mascagni@libero.it,4039106518,Incrocio Errigo 656,Papafava veneto,82512,Italia,2025-01-19
69,Panfilo,Trupiano,panfilo.trupiano@tin.it,0047868633,Strada Amedeo 6 Appartamento 33,San Carolina a mare,90306,Italia,2024-08-19
70,Gianpaolo,Vecellio,gianpaolo.vecellio@virgilio.it,2843959953,Contrada Leone 892,Vivaldi nell'emilia,56856,Italia,2024-07-03
71,Enzio,Mantegazza,enzio.mantegazza@gmail.com,8733427086,Borgo Gualtieri 517,Carmelo umbro,04699,Italia,2022-12-08
72,Tatiana,Bonomo,tatiana.bonomo@virgilio.it,7354033173,Contrada Parpinel 85,Giulio calabro,71753,Italia,2024-05-05
73,Luca,Porcellato,luca.porcellato@libero.it,2048996423,Stretto Moresi 77,Dibiasi sardo,22872,Italia,2025-01-27
74,Eva,Biagiotti,eva.biagiotti@hotmail.com,1006231203,Canale Sraffa 088,Ammaniti a mare,84086,Italia,2023-07-13
75,Coriolano,Caffarelli,coriolano.caffarelli@hotmail.com,3398454615,Contrada Giulietta 016,Paolucci umbro,00217,Italia,2024-08-12
76,Fabia,Montanari,fabia.montanari@yahoo.com,8033974014,Piazza Fogazzaro 2,Borsiere salentino,93968,Italia,2024-03-06
77,Oreste,Cilibrasi,oreste.cilibrasi@libero.it,0163159996,Borgo Nordio 6 Piano 2,Briccialdi laziale,31142,Italia,2024-05-20
78,Lara,Cossiga,lara.cossiga@gmail.com,5110475412,Strada Aulenti 581 Piano 6,Sesto Piergiuseppe veneto,83982,Italia,2025-09-06
79,Nino,Donarelli,nino.donarelli@tin.it,4472126464,Canale Simone 9 Appartamento 71,Sesto Adriano,59657,Italia,2024-03-10
80,Puccio,Ciampi,puccio.ciampi@vodafone.it,9375265479,Rotonda Carnera 3 Appartamento 80,Foscari nell'emilia,16724,Italia,2023-10-18
81,Giosuè,Cossiga,giosuè.cossiga@gmail.com,1797968868,Borgo Flavia 5,Settimo Antonello,56101,Italia,2023-11-13
82,Gianfrancesco,Tonisto,gianfrancesco.tonisto@hotmail.com,7567982507,Via Maurilio 57,Settimo Saverio,71775,Italia,2023-01-20
83,Leonardo,Bazzi,leonardo.bazzi@tim.it,5123828258,Via Eugenia 6 Piano 0,Quarto Carla,60334,Italia,2025-10-05
84,Paloma,Boaga,paloma.boaga@yahoo.com,8255371478,Rotonda Mauro 92 Piano 9,Borgo Luca lido,41252,Italia,2024-12-09
85,Osvaldo,Prodi,osvaldo.prodi@tele2.it,9662782827,Vicolo Bernetti 07 Appartamento 36,Pizziol terme,67721,Italia,2025-03-04
86,Amadeo,Galuppi,amadeo.galuppi@vodafone.it,4384279788,Stretto Bassi 7 Appartamento 61,Sesto Tatiana,74517,Italia,2023-04-08
87,Maura,Ginesio,maura.ginesio@virgilio.it,9629233095,Contrada Luxardo 4,Borgo Luisa veneto,42232,Italia,2024-02-20
88,Renata,Gramsci,renata.gramsci@gmail.com,2946671168,Vicolo Acerbi 1 Piano 5,Settimo Paride del friuli,37454,Italia,2024-03-15
89,Allegra,Ceschi,allegra.ceschi@yahoo.com,5001701277,Via Leonardi 541,Gabriella terme,06436,Italia,2025-07-22
90,Carlo,Cadorna,carlo.cadorna@libero.it,7129387005,Borgo Oreste 115 Piano 4,Quarto Matilda,21890,Italia,2025-05-13
91,Federica,Dallara,federica.dallara@outlook.com,3269731121,Via Granatelli 13 Piano 0,Geronimo umbro,64037,Italia,2024-05-29
92,Costanzo,Giusti,costanzo.giusti@live.com,8055269658,Piazza Giuseppe 006,Eliana sardo,66188,Italia,2025-05-21
93,Eraldo,Letta,eraldo.letta@libero.it,1832856914,Incrocio Daniele 99,Sesto Gelsomina sardo,10202,Italia,2024-11-17
94,Mattia,Treves,mattia.treves@hotmail.com,2524105648,Viale Torlonia 07,Sesto Ermenegildo,19138,Italia,2022-10-11
95,Antonello,Anastasi,antonello.anastasi@tiscali.it,7562208635,Vicolo Niccolò 802 Appartamento 80,Bompiani nell'emilia,45187,Italia,2022-10-20
96,Nanni,Filogamo,nanni.filogamo@vodafone.it,9375973832,Canale Aloisio 06,Coluccio del friuli,67024,Italia,2023-03-01
97,Antonello,Giannelli,antonello.giannelli@hotmail.com,5719182619,Contrada Giulio 65,Rocco salentino,13291,Italia,2023-06-06
98,Coriolano,Dallara,coriolano.dallara@outlook.com,5618537474,Borgo Romana 21 Appartamento 56,Sesto Giulio ligure,67883,Italia,2023-03-04
99,Romolo,Camanni,romolo.camanni@tin.it,0032365199,Canale Renzo 151,Quarto Armando ligure,67066,Italia,2023-07-03
100,Michelangelo,Gabbana,michelangelo.gabbana@alice.it,4720999347,Contrada Oreste 638,Settimo Nadia,65787,Italia,2024-03-25
101,Annunziata,Tebaldi,annunziata.tebaldi@poste.it,4205930407,Strada Gioffre 3,Vittorio sardo,39652,Italia,2023-07-08
102,Gilberto,Merisi,gilberto.merisi@gmail.com,5992937842,Vicolo Giancarlo 870,Diana del friuli,52500,Italia,2023-05-25
103,Bianca,Civaschi,bianca.civaschi@tim.it,1569154522,Borgo Duodo 44,Borgo Lina,96902,Italia,2025-04-30
104,Luciano,Galvani,luciano.galvani@yahoo.com,7251355215,Strada Maurizio 10,Quarto Raimondo sardo,26765,Italia,2025-02-02
105,Nicola,Calvo,nicola.calvo@live.com,2710405411,Stretto Viridiana 599,Bajamonti veneto,96201,Italia,2024-03-05
106,Geronimo,Favata,geronimo.favata@gmail.com,4431069872,Contrada Priscilla 9 Piano 3,San Geronimo ligure,17146,Italia,2024-10-08
107,Severino,Iannuzzi,severino.iannuzzi@libero.it,2565270477,Canale Cipriano 586,Settimo Augusto,86879,Italia,2023-10-09
108,Salvi,Mannoia,salvi.mannoia@libero.it,0898992172,Incrocio Bernardo 6,Borgo Romana,51168,Italia,2024-06-16
109,Amanda,Modugno,amanda.modugno@fastwebnet.it,0998616229,Contrada Stella 5,Iannotti veneto,99702,Italia,2023-12-09
110,Patrizio,Colletti,patrizio.colletti@tele2.it,0653074505,Borgo Donato 75 Piano 6,Borgo Rembrandt del friuli,78508,Italia,2023-06-11
111,Baccio,Matteotti,baccio.matteotti@hotmail.com,2890233030,Rotonda Scarlatti 6,San Gioacchino calabro,97279,Italia,2025-02-10
112,Maurizio,Murialdo,maurizio.murialdo@alice.it,1406029333,Viale Donatello 2,Borgo Giosuè laziale,46657,Italia,2023-11-03
113,Gian,Schiavo,gian.schiavo@vodafone.it,9108589944,Canale Modiano 44 Appartamento 28,San Olga,52074,Italia,2023-11-15
114,Piero,Pirandello,piero.pirandello@gmail.com,9935387584,Viale Dionigi 4 Appartamento 51,Sesto Gianfranco,65549,Italia,2024-01-07
115,Ronaldo,Casagrande,ronaldo.casagrande@live.com,9991738168,Borgo Massimo 97,Sesto Sophia,17525,Italia,2025-06-19
116,Arturo,Agostinelli,arturo.agostinelli@outlook.com,3292712966,Piazza Vittorio 505 Appartamento 00,Borgo Griselda,42168,Italia,2025-04-09
117,Liberto,Desio,liberto.desio@libero.it,4478985625,Piazza Geraci 230,San Mirko,64890,Italia,2025-04-17
118,Antonio,Cannizzaro,antonio.cannizzaro@libero.it,1676184723,Vicolo Ciani 18,Sesto Damiano lido,39348,Italia,2023-08-17
119,Micheletto,Platini,micheletto.platini@vodafone.it,0873753001,Stretto Benvenuto 1,Evangelista del friuli,44701,Italia,2023-07-06
120,Tatiana,Barracco,tatiana.barracco@vodafone.it,5611002255,Rotonda Fagotto 667,Romana veneto,62120,Italia,2023-06-12
121,Coluccio,Pratesi,coluccio.pratesi@yahoo.com,9729659027,Strada Giulio 5 Appartamento 89,Sesto Ugolino,63756,Italia,2023-05-26
122,Rosa,Zaccagnini,rosa.zaccagnini@tele2.it,0287721753,Incrocio Gibilisco 779,Brunelleschi nell'emilia,51701,Italia,2024-06-25
123,Piergiuseppe,Barcaccia,piergiuseppe.barcaccia@hotmail.it,1994883755,Canale Ortese 7 Appartamento 13,Sesto Michelangelo terme,88510,Italia,2023-06-20
124,Silvio,Cimarosa,silvio.cimarosa@gmail.com,4933163735,Viale Terragni 708,Settimo Raffaele laziale,82922,Italia,2023-03-17
125,Osvaldo,Milanesi,osvaldo.milanesi@hotmail.com,6934654722,Stretto Gaiatto 394 Piano 2,Settimo Alessandra,15879,Italia,2025-03-12
126,Gelsomina,Priuli,gelsomina.priuli@hotmail.it,6081062003,Piazza Graziella 38 Appartamento 57,Settimo Stella terme,86384,Italia,2025-09-18
127,Gabriella,Bellini,gabriella.bellini@gmail.com,6580043973,Contrada Ricciotti 122,Quarto Annibale veneto,84229,Italia,2023-11-08
128,Adelmo,Montalcini,adelmo.montalcini@outlook.com,0259094798,Stretto Baldassare 2,Vento umbro,15335,Italia,2024-03-05
129,Michelotto,Magrassi,michelotto.magrassi@virgilio.it,8015739930,Stretto Longhena 858 Piano 7,Sesto Viridiana terme,58112,Italia,2025-01-20
130,Vittorio,Alfieri,vittorio.alfieri@libero.it,3613861207,Via Nadia 81,Sesto Pier,76650,Italia,2024-06-04
131,Giada,Casale,giada.casale@hotmail.it,9190158144,Incrocio Bajamonti 28 Appartamento 26,Emma ligure,50882,Italia,2023-04-17
132,Ansaldo,Agostini,ansaldo.agostini@yahoo.com,8814353682,Strada Filippo 9 Appartamento 87,Sesto Germana lido,13975,Italia,2024-04-14
133,Dionigi,Gianvecchio,dionigi.gianvecchio@tim.it,9135775949,Incrocio Disdero 533 Piano 4,Donato terme,77754,Italia,2024-11-02
134,Amanda,Canova,amanda.canova@alice.it,4283411080,Stretto Giulio 8,Condoleo calabro,39427,Italia,2024-11-24
135,Tullio,Buonauro,tullio.buonauro@gmail.com,8039282722,Piazza Galiazzo 31 Piano 5,San Gemma,85677,Italia,2022-12-19
136,Annibale,Moccia,annibale.moccia@tim.it,4989266591,Rotonda Murri 79,Settimo Tonia ligure,23184,Italia,2023-09-01
137,Enzio,Fanucci,enzio.fanucci@alice.it,9136517773,Piazza Dionigi 9,Borgo Elisa,92024,Italia,2023-07-14
138,Ugo,Pisacane,ugo.pisacane@tele2.it,4137977236,Via Moschino 99,Borgo Nicolò veneto,10388,Italia,2025-09-05
139,Piero,Conte,piero.conte@tele2.it,2799088117,Stretto Puglisi 08,Giacconi nell'emilia,59916,Italia,2023-05-03
140,Giovanni,Sismondi,giovanni.sismondi@tiscali.it,4986430098,Rotonda Pierangelo 12 Piano 9,Giulio umbro,95946,Italia,2023-08-20
141,Piergiuseppe,Villarosa,piergiuseppe.villarosa@hotmail.it,2588744956,Strada Giampaolo 6 Piano 8,Borgo Ottavio terme,12796,Italia,2023-02-21
142,Azeglio,Iadanza,azeglio.iadanza@tiscali.it,1906698490,Canale Ninetta 4,San Mercedes,92053,Italia,2025-07-21
143,Achille,Cristoforetti,achille.cristoforetti@libero.it,6566938011,Contrada Gemito 3 Piano 6,Sesto Federico veneto,81845,Italia,2023-04-07
144,Ninetta,Toselli,ninetta.toselli@fastwebnet.it,7697357790,Canale Galuppi 3,Piergiuseppe calabro,43416,Italia,2025-08-19
145,Luigina,Morucci,luigina.morucci@libero.it,7553942373,Borgo Romana 952,San Bernardo terme,90807,Italia,2024-05-06
146,Donatella,Mengolo,donatella.mengolo@live.com,7284639208,Incrocio Druso 18,Mennea sardo,03691,Italia,2024-02-25
147,Milo,Guidotti,milo.guidotti@alice.it,3479552763,Viale Errigo 2 Appartamento 14,Settimo Raffaele,32270,Italia,2023-07-09
148,Pierpaolo,Tartaglia,pierpaolo.tartaglia@tin.it,7448906120,Rotonda Guinizzelli 58,Matteo a mare,15939,Italia,2025-03-20
149,Federica,Varano,federica.varano@alice.it,5587716947,Strada Botta 535 Piano 4,Claudia terme,47598,Italia,2024-09-06
150,Piergiuseppe,Desio,piergiuseppe.desio@alice.it,2341326111,Stretto Brambilla 492,Quarto Lodovico del friuli,47228,Italia,2023-06-30
151,Alphons,Barbarigo,alphons.barbarigo@gmail.com,7784872829,Rotonda Sommaruga 3 Appartamento 74,Piergiuseppe salentino,40082,Italia,2024-03-25
152,Ivan,Scotto,ivan.scotto@hotmail.it,7740649308,Borgo Dalla 6 Piano 3,Bernardo veneto,89448,Italia,2023-11-29
153,Piergiuseppe,Farinelli,piergiuseppe.farinelli@libero.it,2417974973,Via Claudio 42,Alfonsi del friuli,20735,Italia,2024-07-21
154,Lorenzo,Tarantini,lorenzo.tarantini@gmail.com,0512046187,Strada Marissa 3 Piano 7,San Gaetano,18376,Italia,2025-08-31
155,Lorenzo,Miniati,lorenzo.miniati@alice.it,8814743503,Via Nadia 91 Piano 3,San Beatrice sardo,92513,Italia,2023-06-09
156,Telemaco,Buscetta,telemaco.buscetta@tele2.it,0052812735,Incrocio Micheletto 2,Vittoria a mare,78487,Italia,2023-07-29
157,Antonella,Fanucci,antonella.fanucci@hotmail.it,5749821827,Piazza Tognazzi 20 Piano 9,Sesto Licia,86387,Italia,2025-02-10
158,Eraldo,Longhena,eraldo.longhena@poste.it,5118102203,Vicolo Eva 78,Armando calabro,91037,Italia,2023-02-09
159,Ruggero,Bignardi,ruggero.bignardi@gmail.com,5094801413,Borgo Ferragni 3,Settimo Luigina,19576,Italia,2023-03-18
160,Fabio,Esposito,fabio.esposito@hotmail.it,8528975585,Vicolo Alina 684 Piano 7,Petrucelli a mare,49082,Italia,2024-01-19
161,Adriano,Mantegna,adriano.mantegna@tiscali.it,5048889921,Contrada Mirko 3,Sesto Paola,19693,Italia,2023-02-04
162,Lidia,Mocenigo,lidia.mocenigo@live.com,7919409610,Borgo Ludovica 9 Appartamento 60,Venancio a mare,89258,Italia,2025-09-25
163,Gianfrancesco,Correr,gianfrancesco.correr@libero.it,7998136462,Stretto Pasqual 16 Piano 2,Quarto Annalisa,76938,Italia,2025-05-21
164,Lolita,Trevisani,lolita.trevisani@tiscali.it,1465911665,Contrada Fabrizio 97 Appartamento 70,Borgo Giulietta,21103,Italia,2025-05-29
165,Enrico,Lupo,enrico.lupo@libero.it,1477053833,Canale Aldo 98 Appartamento 42,Sesto Galasso sardo,07016,Italia,2025-07-29
166,Greco,Omma,greco.omma@tim.it,4636815798,Piazza Gioffre 4 Piano 7,Crispi a mare,55438,Italia,2023-12-10
167,Paola,Bixio,paola.bixio@fastwebnet.it,0843256216,Vicolo Eraldo 49 Piano 7,Borgo Fiamma,98324,Italia,2025-09-11
168,Isa,Trevisan,isa.trevisan@tin.it,2925188125,Contrada Ruberto 4 Appartamento 31,Borgo Alfredo,99939,Italia,2023-10-03
169,Gianni,Aulenti,gianni.aulenti@gmail.com,7289752677,Incrocio Marina 463,Borgo Baccio,79757,Italia,2023-10-26
170,Pompeo,Pirelli,pompeo.pirelli@libero.it,5699988081,Piazza Zabarella 80,Sesto Ranieri,44726,Italia,2024-01-08
171,Daria,Berrè,daria.berrè@hotmail.com,7718129826,Viale Camilla 3,Bulzoni salentino,21117,Italia,2025-06-18
172,Milo,Bresciani,milo.bresciani@hotmail.com,8926860259,Incrocio Livio 74,San Vittoria,30940,Italia,2024-09-19
173,Stefano,Tarantino,stefano.tarantino@hotmail.it,9733977671,Vicolo Volterra 022,Sesto Amleto ligure,99451,Italia,2022-12-23
174,Corrado,Prati,corrado.prati@alice.it,4999827950,Strada Renier 1 Piano 7,San Griselda,58683,Italia,2025-09-22
175,Giacobbe,Biagi,giacobbe.biagi@tim.it,7946954899,Viale Errigo 3 Piano 3,San Alfio nell'emilia,39660,Italia,2024-03-09
176,Maurizio,Zaguri,maurizio.zaguri@virgilio.it,3441448850,Via Fulvio 57 Piano 0,Quarto Ermanno,85760,Italia,2024-12-25
177,Leonardo,Zetticci,leonardo.zetticci@poste.it,3955124056,Vicolo Daniele 50 Piano 6,Quarto Tina del friuli,74384,Italia,2023-07-06
178,Costanzo,Palumbo,costanzo.palumbo@libero.it,1780782357,Stretto Giorgia 307,Trentini lido,40915,Italia,2024-10-02
179,Veronica,Beffa,veronica.beffa@tim.it,0943533448,Via Guglielmo 098 Appartamento 38,Amalia calabro,24932,Italia,2023-01-26
180,Lorenzo,Morgagni,lorenzo.morgagni@hotmail.it,0207016016,Contrada Montanelli 817 Appartamento 17,Quarto Lodovico terme,73329,Italia,2023-11-12
181,Mirco,Pergolesi,mirco.pergolesi@alice.it,5770171577,Incrocio Paulina 1,Angelina terme,48769,Italia,2024-07-11
182,Gino,Gori,gino.gori@hotmail.it,7615396695,Strada Scaramucci 81,Durante salentino,19196,Italia,2024-02-28
183,Simone,Binaghi,simone.binaghi@libero.it,2902278469,Contrada Marinetti 51,Settimo Tullio veneto,40580,Italia,2022-10-09
184,Irma,Zacco,irma.zacco@gmail.com,4036965666,Via Farinelli 6,Rosalia veneto,42201,Italia,2025-07-11
185,Alderano,Colletti,alderano.colletti@live.com,2126796927,Rotonda Gelli 690 Piano 3,Piergiorgio umbro,00975,Italia,2023-04-01
186,Beatrice,Sommaruga,beatrice.sommaruga@libero.it,8478189137,Rotonda Vittorio 778 Piano 9,Pierpaolo calabro,42094,Italia,2025-03-01
187,Giulio,Binaghi,giulio.binaghi@live.com,9049047128,Contrada Guarneri 192,Quarto Napoleone,43728,Italia,2022-11-28
188,Massimo,Branciforte,massimo.branciforte@tin.it,7663723950,Incrocio Simeoni 78,Quarto Giuliana,74286,Italia,2022-10-26
189,Ivo,Salandra,ivo.salandra@gmail.com,8018569454,Canale Goldstein 9 Appartamento 85,Sesto Allegra,01061,Italia,2024-12-31
190,Coluccio,Sabatini,coluccio.sabatini@gmail.com,4430091093,Incrocio Flavia 9,San Ida,44717,Italia,2023-12-11
191,Marissa,Renault,marissa.renault@poste.it,2140665044,Vicolo Panfilo 712 Piano 3,Quarto Lauretta salentino,01194,Italia,2024-08-30
192,Aldo,Tanzini,aldo.tanzini@tin.it,0642569087,Piazza Oreste 7,Settimo Adelasia calabro,46015,Italia,2025-01-15
193,Serena,Morpurgo,serena.morpurgo@libero.it,4328063461,Via Amleto 093 Piano 6,Settimo Evangelista salentino,87005,Italia,2023-01-03
194,Martino,Bataglia,martino.bataglia@gmail.com,3878293102,Canale Domenico 204,Quarto Cristina ligure,11799,Italia,2023-09-15
